subject_name,subject_type,relation_type,object_name,object_type
截面,数学实体,相关于,圆柱,数学实体
截面,数学实体,相关于,圆柱,数学实体
公式,数学实体,相关于,圆柱,数学实体
公式,数学实体,相关于,圆柱,数学实体
分类,数学实体,相关于,圆柱,数学实体
轴截面,数学实体,部分于,圆柱,数学实体
轴线,数学实体,部分于,圆柱,数学实体
母线,数学实体,部分于,圆柱,数学实体
圆柱,数学实体,属于,旋转体,数学实体
圆柱,数学实体,属于,柱体,数学实体
直棱柱,数学实体,属于,棱柱,数学实体
直角边,数学实体,属于,边,数学实体
底,数学实体,属于,边,数学实体
对边,数学实体,属于,边,数学实体
邻边,数学实体,属于,边,数学实体
腰,数学实体,属于,边,数学实体
底边,数学实体,属于,边,数学实体
斜边,数学实体,属于,边,数学实体
棱,数学实体,属于,边,数学实体
宽,数学实体,属于,边,数学实体
四边形的顶点的定义,数学实体,相关于,边,数学实体
表示方法,地理实体,相关于,边,数学实体
中位线定理,数学实体,相关于,边,数学实体
基本特征,数学实体,相关于,边,数学实体
托勒密定理,数学实体,相关于,边,数学实体
边边边定理,数学实体,相关于,边,数学实体
角边角定理,数学实体,相关于,边,数学实体
角角边定理,数学实体,相关于,边,数学实体
正弦定理,数学实体,相关于,边,数学实体
三角形的外心的定义,数学实体,相关于,边,数学实体
射影定理,数学实体,相关于,边,数学实体
判定,数学实体,相关于,边,数学实体
画法,数学实体,相关于,边,数学实体
画法,数学实体,相关于,边,数学实体
边角边定理,数学实体,相关于,边,数学实体
余弦定理,数学实体,相关于,边,数学实体
公式,数学实体,相关于,边,数学实体
公式,数学实体,相关于,边,数学实体
公式,数学实体,相关于,边,数学实体
分类,数学实体,相关于,边,数学实体
正多边形的边心距的定义,数学实体,相关于,边,数学实体
三角形的外角的定义,数学实体,相关于,边,数学实体
多边形的顶点的定义,数学实体,相关于,边,数学实体
多边形的角的定义,数学实体,相关于,边,数学实体
四边形的内切圆的定义,数学实体,相关于,边,数学实体
正多边形的中心角的定义,数学实体,相关于,边,数学实体
等角对等边,数学实体,相关于,边,数学实体
三角形的角的定义,数学实体,相关于,边,数学实体
稳定性,数学实体,相关于,边,数学实体
四边形的角的定义,数学实体,相关于,边,数学实体
圆的外切四边形的定义,数学实体,相关于,边,数学实体
三角形的内切圆的定义,数学实体,相关于,边,数学实体
平行四边形的判定,数学实体,相关于,边,数学实体
正三角形的定义,数学实体,相关于,边,数学实体
基本要素,数学实体,相关于,边,数学实体
三角形的顶点的定义,数学实体,相关于,边,数学实体
三角形的中线的定义,数学实体,相关于,边,数学实体
勾股定理的逆定理,数学实体,相关于,边,数学实体
四边形的外角的定义,数学实体,相关于,边,数学实体
全等三角形的对应边的定义,数学实体,相关于,边,数学实体
等边对等角,数学实体,相关于,边,数学实体
三元一次方程的解的定义,数学实体,相关于,边,数学实体
多边形的边的定义,数学实体,相关于,边,数学实体
圆的外切三角形的定义,数学实体,相关于,边,数学实体
海伦公式,数学实体,相关于,边,数学实体
四边形的边的定义,数学实体,相关于,边,数学实体
直角三角形的判定,数学实体,相关于,边,数学实体
多边形的内角的定义,数学实体,相关于,边,数学实体
三角形的边的定义,数学实体,相关于,边,数学实体
等腰三角形的底边的定义,数学实体,相关于,边,数学实体
等边三角形的判定,数学实体,相关于,边,数学实体
二元一次方程的解的定义,数学实体,相关于,边,数学实体
四边形的内角的定义,数学实体,相关于,边,数学实体
二元一次方程的整数解的定义,数学实体,相关于,边,数学实体
边,数学实体,属于,线段,数学实体
边,数学实体,部分于,多面体,数学实体
边,数学实体,部分于,多边形,数学实体
分类,数学实体,相关于,有限集合,数学实体
有限集的定义,数学实体,相关于,有限集合,数学实体
有限集合,数学实体,属于,集合,数学实体
简单组合体,数学实体,属于,多面体,数学实体
复数相反数的性质,数学实体,相关于,加法,数学实体
平行四边形法则,数学实体,相关于,加法,数学实体
有理数的加法的定义,数学实体,相关于,加法,数学实体
空间向量线性运算的性质,数学实体,相关于,加法,数学实体
运算律,数学实体,相关于,加法,数学实体
向量的加法的定义,数学实体,相关于,加法,数学实体
三角形法则,数学实体,相关于,加法,数学实体
复数加法的性质,数学实体,相关于,加法,数学实体
被加数,数学实体,部分于,加法,数学实体
点在第三象限的判定,数学实体,相关于,第三象限,数学实体
第三象限,数学实体,属于,象限,数学实体
两平面互相垂直的定义,数学实体,相关于,直二面角,数学实体
直二面角,数学实体,属于,二面角,数学实体
平均水平特性,数学实体,相关于,中位数,数学实体
中位数,数学实体,属于,数,数学实体
函数与方程思想,数学实体,相关于,解方程,数学实体
验根,数学实体,相关于,解方程,数学实体
解分式方程的一般步骤,数学实体,相关于,解方程,数学实体
焦点在y轴的椭圆的标准方程的定义,数学实体,相关于,标准方程,数学实体
抛物线的标准方程的定义,数学实体,相关于,标准方程,数学实体
焦点在x轴的椭圆的标准方程的定义,数学实体,相关于,标准方程,数学实体
双曲线标准方程的性质,数学实体,相关于,标准方程,数学实体
标准方程,数学实体,属于,方程,数学实体
标准方程,数学实体,部分于,圆锥曲线,数学实体
分组转化法,数学实体,相关于,组合,数学实体
分类,数学实体,相关于,统计调查,数学实体
步骤,数学实体,相关于,频数,数学实体
步骤,数学实体,相关于,频数,数学实体
相同点,数学实体,相关于,频数,数学实体
分布情况,数学实体,相关于,频数,数学实体
频数,数学实体,属于,整数,数学实体
几何意义,数学实体,相关于,长方体,数学实体
立方体,数学实体,属于,长方体,数学实体
长方体,数学实体,属于,直平行六面体,数学实体
截距式直线方程的定义,数学实体,相关于,截距,数学实体
斜截式直线方程的定义,数学实体,相关于,截距,数学实体
截距,数学实体,部分于,直线,数学实体
基本特征,数学实体,相关于,平面图形,数学实体
平面图形的密铺的定义,数学实体,相关于,平面图形,数学实体
空间几何体表面距离,数学实体,相关于,平面图形,数学实体
平移的定义,数学实体,相关于,平面图形,数学实体
平面图形,数学实体,属于,图形,数学实体
图象,数学实体,相关于,坐标轴,数学实体
象限角,数学实体,相关于,坐标轴,数学实体
原点,数学实体,部分于,坐标轴,数学实体
抛物线的标准方程的定义,数学实体,相关于,坐标轴,数学实体
横轴,数学实体,属于,坐标轴,数学实体
纵轴,数学实体,属于,坐标轴,数学实体
空间直角坐标系的坐标轴的定义,数学实体,相关于,坐标轴,数学实体
轴线角,数学实体,相关于,坐标轴,数学实体
空间直角坐标系的坐标平面的定义,数学实体,相关于,坐标轴,数学实体
坐标轴,数学实体,部分于,坐标系,数学实体
牛顿,数学实体,相关于,二项式定理,数学实体
公式,数学实体,属于,式子,数学实体
等式,数学实体,属于,式子,数学实体
代数式,数学实体,属于,式子,数学实体
解析式法的定义,数学实体,相关于,式子,数学实体
原理,数学实体,相关于,式子,数学实体
求定义域,数学实体,相关于,式子,数学实体
分解因式的定义,数学实体,相关于,式子,数学实体
函数的平均变化率的定义,数学实体,相关于,式子,数学实体
始边,数学实体,属于,射线,数学实体
终边,数学实体,属于,射线,数学实体
平分线,数学实体,属于,射线,数学实体
步骤,数学实体,相关于,射线,数学实体
外部,数学实体,相关于,射线,数学实体
表示,数学实体,相关于,射线,数学实体
角的终边的定义,数学实体,相关于,射线,数学实体
二面角的平面角的定义,数学实体,相关于,射线,数学实体
角的顶点的定义,数学实体,相关于,射线,数学实体
内部,数学实体,相关于,射线,数学实体
角的始边的定义,数学实体,相关于,射线,数学实体
不同点,数学实体,相关于,射线,数学实体
不同点,数学实体,相关于,射线,数学实体
相同点,数学实体,相关于,射线,数学实体
端点,数学实体,部分于,射线,数学实体
射线,数学实体,属于,线,数学实体
